data_date,timestamp,time_window_end,window_minute,area,area_type,ensemble_pred,wait_time_min,congestion_grade,operation_basis,operation_interval_min,im_gate,raw_required_security_lanes,recommended_security_lanes,operation_level,recommendation
2025-09-01,2025-09-01 06:10:00,2025-09-01 06:20:00,370,IM1,security,159.3,41.69,8,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 06:10:00,2025-09-01 06:20:00,370,IM2,security,109.15,19.43,5,실측 10분 85% 분위값,10,IM2,17,17,3단계 최대 운영(17대),IM2 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 06:20:00,2025-09-01 06:30:00,380,IM1,security,136.15,29.51,7,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 06:20:00,2025-09-01 06:30:00,380,IM2,security,96.15,15.76,4,실측 10분 85% 분위값,10,IM2,17,17,3단계 최대 운영(17대),IM2 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 06:30:00,2025-09-01 06:40:00,390,IM1,security,117.0,21.98,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 06:30:00,2025-09-01 06:40:00,390,IM2,security,91.0,14.47,4,실측 10분 85% 분위값,10,IM2,16,17,3단계 최대 운영(17대),IM2 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 06:40:00,2025-09-01 06:50:00,400,IM1,security,129.3,26.59,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 06:40:00,2025-09-01 06:50:00,400,IM2,security,93.3,15.03,4,실측 10분 85% 분위값,10,IM2,16,17,3단계 최대 운영(17대),IM2 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 06:50:00,2025-09-01 07:00:00,410,IM1,security,142.15,32.3,7,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 06:50:00,2025-09-01 07:00:00,410,IM2,security,92.0,14.72,4,실측 10분 85% 분위값,10,IM2,16,17,3단계 최대 운영(17대),IM2 보안검색대 17대 개방 권장
2025-09-01,2025-09-01 07:00:00,2025-09-01 07:10:00,420,IM1,security,133.45,28.32,6,실측 10분 85% 분위값,10,IM1,17,17,3단계 최대 운영(17대),IM1 보안검색대 17대 개방 권장
